Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
89,Deere,Agriculture manufacturing,"51,716",-15.60%,"55,524","Moline, Illinois"
90,Nike,Apparel,"51,361",0.30%,"78,400","Beaverton, Oregon"
91,Liberty Mutual Insurance Group,Insurance,"50,429",-4.10%,"40,000","Boston, Massachusetts"
92,Plains GP Holdings,Petroleum,"50,073",2.80%,"4,200","Houston, Texas"
93,USAA,Insurance,"48,560",14.30%,"38,018","San Antonio, Texas"
94,Bristol-Myers Squibb,Pharmaceutical,"48,300",7.30%,"34,100","New York City, New York"
95,Ingram Micro Holding,Technology,"47,984",-0.10%,"26,125","Irvine, California"
96,General Dynamics,Aerospace and defense,"47,716",12.90%,"117,000","Reston, Virginia"
97,Coca-Cola,Beverage,"47,061",2.90%,"69,700","Atlanta, Georgia"
98,TIAA,Financials,"46,946",2.60%,"15,623","New York City, New York"
99,Travelers,Insurance,"46,423",12.20%,"34,000","New York City, New York"
100,Eli Lilly,Pharmaceutical,"45,043",32.00%,"47,000","Indianapolis, Indiana"
